gene	logFC	AveExpr	t	P.Value	adj.P.Val	B	direction	significance
ARL9	0.0879488187766144	4.26587355182658	0.523725013689323	0.610157544410459	0.888945241088807	-5.76408818849528	up_in_PH	not_FDR_significant
LOC105374690	0.040648882183778	3.15067443716161	0.523709137508887	0.610168250720337	0.888945241088807	-5.76409634054493	up_in_PH	not_FDR_significant
SCAF11	0.25301910979474	7.8903712977464	0.52371011035779	0.610187101896102	0.888945241088807	-5.76407751727362	up_in_PH	not_FDR_significant
CIB3	0.0603784462822183	3.43569452965853	0.523557511349029	0.610270506557889	0.888945241088807	-5.76417418521069	up_in_PH	not_FDR_significant
IFNAR2	-0.180741919730119	6.54112286179787	-0.523554828268751	0.610273158073407	0.888945241088807	-5.76417477172291	down_in_PH	not_FDR_significant
LINC02395	0.0489597988909312	2.35312898258175	0.523481589345318	0.61032608699824	0.888945241088807	-5.76420904592404	up_in_PH	not_FDR_significant
PWRN1	-0.0755661775203937	2.72315260307874	-0.523533308355427	0.610327795442604	0.888945241088807	-5.76414813430706	down_in_PH	not_FDR_significant
NXPE1	-0.0578000257744136	3.09657682855434	-0.523295231608467	0.610447406870304	0.888965511482812	-5.76430878865164	down_in_PH	not_FDR_significant
GSEC	-0.0654563545452147	3.40213929856325	-0.523293568204822	0.610448528871456	0.888965511482812	-5.76430964211502	down_in_PH	not_FDR_significant
DSG1	-0.0443123862428849	2.42712356327936	-0.523274819993826	0.610462016478837	0.888965511482812	-5.76431847121313	down_in_PH	not_FDR_significant
SAFB2	-0.152101913297593	4.83901710516671	-0.523206420399865	0.610508154710924	0.888968185324824	-5.76435356258646	down_in_PH	not_FDR_significant
ADD2	-0.768959230031872	7.61595393972057	-0.523261763494539	0.610544055466007	0.888968185324824	-5.764256406565	down_in_PH	not_FDR_significant
CFAP206	-0.10954903506583	4.70632585666799	-0.523043548874592	0.610617184001182	0.889016270520045	-5.76443789332364	down_in_PH	not_FDR_significant
LOC105375206	-0.0286376659707126	2.1726985604806	-0.522855481430382	0.610744063758746	0.889084332523747	-5.76453432694705	down_in_PH	not_FDR_significant
ABCB11	0.0479016964709196	2.39948207019866	0.522782000613617	0.610794481769795	0.889084332523747	-5.76457120716528	up_in_PH	not_FDR_significant
TSNAXIP1	-0.116174419389773	4.44233702260075	-0.52270693576447	0.610844289486771	0.889084332523747	-5.76461047202798	down_in_PH	not_FDR_significant
DUSP28	-0.162664938224158	6.77907783110488	-0.522586823296741	0.610925336992328	0.889084332523747	-5.76467202709057	down_in_PH	not_FDR_significant
NIFK-AS1	0.343471107140909	8.52118436541786	0.522685203851757	0.610932933085242	0.889084332523747	-5.764552180134	up_in_PH	not_FDR_significant
MARCHF10-DT	0.0866902966852594	3.20753393544814	0.522534056842731	0.610972576206834	0.889084332523747	-5.7646881491435	up_in_PH	not_FDR_significant
YWHAB	0.276189720742012	8.93823039405838	0.522553234342692	0.611003271243095	0.889084332523747	-5.76463737546813	up_in_PH	not_FDR_significant
LINC00106	-0.145362881450176	5.04591857806113	-0.522463041169444	0.611008866293311	0.889084332523747	-5.76473544869298	down_in_PH	not_FDR_significant
LRRC75B	-0.0999247351472352	4.02179487351659	-0.522439293624707	0.611024892006464	0.889084332523747	-5.76474761446428	down_in_PH	not_FDR_significant
GXYLT2	0.22213936883641	5.50107159129496	0.522230442207736	0.611185006207201	0.8892589405094	-5.76483660752242	up_in_PH	not_FDR_significant
LINC01974	0.0389886392500602	2.64461806110561	0.522077562758981	0.611269027302254	0.889322819271272	-5.76493286268048	up_in_PH	not_FDR_significant
C3orf62	0.0899067147614105	3.43218217043916	0.521892649680517	0.61139646126301	0.889396859200257	-5.76502505956496	up_in_PH	not_FDR_significant
LOC100507395	0.116831753470201	4.73448454379919	0.521883296339892	0.611400159570224	0.889396859200257	-5.76503229926167	up_in_PH	not_FDR_significant
