sample	accession	title	internal_id	cell_type	source	patient	day	replicate	bio_id
ICHSeqBatch1g_B11	GSM4976115	Neutrophils from hematoma of ICH patient number 2385 on day 4 of study - replicate 1	ICHSeqBatch1g_B11	Neutrophil	Hematoma	2385	4	1	Neutrophil|Hematoma|2385|4
ICHSeqBatch1g_A05	GSM4976007	Neutrophils from blood of ICH patient number 2379 on day 5 of study - replicate 1	ICHSeqBatch1g_A05	Neutrophil	ICHBlood	2379	5	1	Neutrophil|ICHBlood|2379|5
ICHSeqBatch1g_B08	GSM4976110	Neutrophils from hematoma of ICH patient number 2385 on day 2 of study - replicate 2	ICHSeqBatch1g_B08	Neutrophil	Hematoma	2385	2	2	Neutrophil|Hematoma|2385|2
ICHSeqBatch1g_B01	GSM4976000	Neutrophils from hematoma of ICH patient number 2379 on day 2 of study - replicate 2	ICHSeqBatch1g_B01	Neutrophil	Hematoma	2379	2	2	Neutrophil|Hematoma|2379|2
ICHSeqBatch1g_D01	GSM4976137	Neutrophils from hematoma of ICH patient number 2215 on day 3 of study - replicate 1	ICHSeqBatch1g_D01	Neutrophil	Hematoma	2215	3	1	Neutrophil|Hematoma|2215|3
ICHSeqBatch1g_B07	GSM4976109	Neutrophils from hematoma of ICH patient number 2385 on day 2 of study - replicate 1	ICHSeqBatch1g_B07	Neutrophil	Hematoma	2385	2	1	Neutrophil|Hematoma|2385|2
ICHSeqBatch1g_B05	GSM4976105	Neutrophils from hematoma of ICH patient number 2385 on day 1 of study - replicate 1	ICHSeqBatch1g_B05	Neutrophil	Hematoma	2385	1	1	Neutrophil|Hematoma|2385|1
ICHSeqBatch1g_B06	GSM4976106	Neutrophils from hematoma of ICH patient number 2385 on day 1 of study - replicate 2	ICHSeqBatch1g_B06	Neutrophil	Hematoma	2385	1	2	Neutrophil|Hematoma|2385|1
ICHSeqBatch1g_A06	GSM4976002	Neutrophils from blood of ICH patient number 2379 on day 3 of study - replicate 2	ICHSeqBatch1g_A06	Neutrophil	ICHBlood	2379	3	2	Neutrophil|ICHBlood|2379|3
ICHSeqBatch1g_D04	GSM4976132	Neutrophils from hematoma of ICH patient number 2215 on day 1 of study - replicate 2	ICHSeqBatch1g_D04	Neutrophil	Hematoma	2215	1	2	Neutrophil|Hematoma|2215|1
ICHSeqBatch1g_C04	GSM4976114	Neutrophils from blood of ICH patient number 2385 on day 4 of study - replicate 1	ICHSeqBatch1g_C04	Neutrophil	ICHBlood	2385	4	1	Neutrophil|ICHBlood|2385|4
ICHSeqBatch1g_A01	GSM4975996	Neutrophils from blood of ICH patient number 2379 on day 1 of study - replicate 1	ICHSeqBatch1g_A01	Neutrophil	ICHBlood	2379	1	1	Neutrophil|ICHBlood|2379|1
ICHSeqBatch1g_C12	GSM4976135	Neutrophils from hematoma of ICH patient number 2215 on day 2 of study - replicate 1	ICHSeqBatch1g_C12	Neutrophil	Hematoma	2215	2	1	Neutrophil|Hematoma|2215|2
ICHSeqBatch1g_A02	GSM4975997	Neutrophils from blood of ICH patient number 2379 on day 2 of study - replicate 1	ICHSeqBatch1g_A02	Neutrophil	ICHBlood	2379	2	1	Neutrophil|ICHBlood|2379|2
