gene	logFC_discovery	FDR_discovery	logFC_validation	FDR_validation	concordant	max_FDR_across_cohorts
LOC157273	-0.0749010093218008	0.711434677328215	0.483920094052304	0.000310700208846669	FALSE	0.711434677328215
LOC254896	0.352033744979138	0.486379067355027	0.0880203530820438	0.64182927694932	TRUE	0.64182927694932
LOC283731	-0.0324132660453698	0.896616161422686	0.471048748306603	0.000749060038404068	FALSE	0.896616161422686
LOC284379	0.0465043585226432	0.86687736110008	0.312079776933158	0.0594678966299428	TRUE	0.86687736110008
LOC284950	0.0361402060940752	0.921445795815978	0.435804517682938	0.000691277544514623	TRUE	0.921445795815978
LOC286437	-0.522422258024287	0.78651912517822	0.380686071430507	0.00000555634097281757	FALSE	0.78651912517822
LOC339166	-0.170114383771087	0.921692919223494	0.508745547713903	0.00227773926541896	FALSE	0.921692919223494
LOC374443	0.284194625626855	0.414290395473722	-1.66201827595753	0.000000000000000000000210648160497841	FALSE	0.414290395473722
LOC389765	0.0844143436922291	0.979370890380921	0.465257797977645	0.0734909161665263	TRUE	0.979370890380921
LOC441081	0.0330618104571214	0.982493806392761	-1.74330465325809	0.00000000000000000000000204548305723766	FALSE	0.982493806392761
LOC441666	-0.0114185356974996	0.984940880101008	0.434667689415811	0.00401113868310204	FALSE	0.984940880101008
LOC642361	-0.135674747507286	0.91566306308344	0.185089069920832	0.187781221937227	FALSE	0.91566306308344
LOC643406	0.0834057581294676	0.888623247827229	0.416240119928893	0.0000000534541753154184	TRUE	0.888623247827229
LOC646214	0.132663441688349	0.908524937980581	0.51805149984284	0.00000000000233603648582069	TRUE	0.908524937980581
LOC652276	0.0736497245400001	0.907426568833711	0.210510476820778	0.067546163821224	TRUE	0.907426568833711
LOC728024	-0.198770525912485	0.758692490434457	-0.403335689155065	0.161354388309566	TRUE	0.758692490434457
LOC728554	-0.4394499852583	0.811497921626089	-0.968904230721266	0.00000165737659187547	TRUE	0.811497921626089
LOC729683	-0.0415014107399454	0.957258184245205	-1.87675643921014	0.0000000000000000176003572105785	TRUE	0.957258184245205
LOC729732	-1.31096906060578	0.249969396178274	-0.0936096251846752	0.348612774149065	TRUE	0.348612774149065
LOC729737	0.114045153585644	0.950191975388652	-0.751344655809135	0.00000000000000000165448738513355	FALSE	0.950191975388652
LOH12CR2	-0.663788529077286	0.568706653359806	0.0621459234297975	0.769902418079662	FALSE	0.769902418079662
