gene	logFC	AveExpr	t	P.Value	adj.P.Val	B	direction
KCNJ2-AS1	-2.36584818534977	1.52057363893353	-10.1154880311945	0.0000000000000000000137611481276381	0.000000000000000000124677227064424	36.0215112373347	down_in_hematoma
SCRN3	-2.71184961247319	0.891274578078524	-10.1141845977805	0.000000000000000000013894397207392	0.000000000000000000125791158705618	36.0242186531274	down_in_hematoma
ARMCX3	1.35539220586583	4.41498184558108	10.112671278012	0.0000000000000000000140507128804616	0.000000000000000000127112115858576	35.6738272322062	up_in_hematoma
CDKN1B	-1.09588251290818	5.1144280042751	-10.1097519618139	0.000000000000000000014357214986759	0.000000000000000000129788798396216	35.6420323405308	down_in_hematoma
PHLDA2	1.60574915664527	4.12593795180823	10.1092555400893	0.0000000000000000000144099921546797	0.000000000000000000130169551912059	35.5892021128754	up_in_hematoma
SEPT10	1.27888180827176	0.178869099574876	10.1012811103686	0.000000000000000000015150401618504	0.000000000000000000136756729465476	35.8497501759315	up_in_hematoma
FAM117B	-1.5554041658868	2.80527740369343	-10.0994977475726	0.0000000000000000000154874513342221	0.000000000000000000139695895971089	35.7931034655196	down_in_hematoma
MLKL	-0.878512788407525	5.97033660326457	-10.0973668288294	0.000000000000000000015733201148246	0.000000000000000000141807812268286	35.3805032613117	down_in_hematoma
TMTC2	-2.15638467095994	0.693925206316678	-10.0951827667416	0.0000000000000000000159891031065906	0.000000000000000000143948053117292	35.8342047264088	down_in_hematoma
C19orf59	1.07334231121278	7.97376825331443	10.095139381803	0.0000000000000000000159942281241436	0.000000000000000000143948053117292	35.1370671335472	up_in_hematoma
PROCR	2.70126458355182	-0.818916461310217	10.0918068883658	0.0000000000000000000163928122606286	0.000000000000000000147426668732737	35.8690857361284	up_in_hematoma
MARCKSL1	1.5228598461944	3.51365029314328	10.0875014879838	0.0000000000000000000169224150088905	0.000000000000000000152077597132877	35.672240830682	up_in_hematoma
COL4A2	2.47665199118886	-1.50346604690906	10.082354743197	0.0000000000000000000175778743893228	0.000000000000000000157851896997647	35.8214185938523	up_in_hematoma
NUDT5	-1.08135675997502	5.24138622118456	-10.0803301457096	0.0000000000000000000178425785037716	0.000000000000000000160111250012169	35.417862509385	down_in_hematoma
CEBPB	1.56286036515172	2.43674030965275	10.077755301584	0.0000000000000000000181436603039083	0.000000000000000000162693482592975	35.6822419061917	up_in_hematoma
PRNP	1.28500427914971	6.19919801175498	10.0718961157978	0.0000000000000000000189885900287266	0.000000000000000000170145011020424	35.0744157269524	up_in_hematoma
PTPN18	-1.07938672794432	4.09258852904024	-10.0685580768376	0.000000000000000000019447466404412	0.000000000000000000174128964220736	35.4181547313556	down_in_hematoma
CTNNAL1	2.69468199884025	0.182925881300024	10.0629133245209	0.0000000000000000000202897217004638	0.000000000000000000181537268225469	35.6414215476474	up_in_hematoma
COX20	1.24134291823772	3.22043372761614	10.061423034522	0.0000000000000000000205055372842242	0.000000000000000000183333914240286	35.4210886068487	up_in_hematoma
RBM19	0.990865623938749	2.52701470891267	10.0585086243867	0.0000000000000000000208012498821086	0.000000000000000000185751570853564	35.2801999242311	up_in_hematoma
DAP	1.46377951059069	5.98572101824746	10.0595044274011	0.000000000000000000020806366079397	0.000000000000000000185751570853564	35.0716839411302	up_in_hematoma
